분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
경영·사무·금융·보험,[장애인만고용] 다원앤컴퍼니 A/S팀 사무직 채용,(주)다원앤컴퍼니,관계없음,학력무관,,,,장애인만 채용,"문서작성 가능자 우대 (Excel, Word 등)",기간의 정함이 있는 근로계약 (12 개월) / 계약기간 만료 후 상용직 전환 검토,사무직,"AS 접수전화 수신 및 접수내용 문서 작업, 법인차량 관리(일지작성 및 업체수리요청), 팀보조(사무업무)",,,(06235) 서울특별시 강남구 테헤란로16길 12,"평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무",주 5일 근무,"중식 제공, 4대보험 적용",,"시급 9,860원 이상",,,,,02-3468-5835,,~ 2024-07-31,워크넷,,http://www.dawondesign.com/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '정신장애']",건설업본사,300 명,조서윤,중견기업,06235 서울특별시 강남구 테헤란로16길 12 (역삼동)
기타,산업 안전원 및 위험물 관리원 모집합니다.,주식회사 세열,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,산업 안전원 및 위험물 관리,"안전한 작업을 위한 안전확인, 안전점검, 안전 리포트, 안전 교육 등 관리, 위험물 취급 일지 작성 관리",,,"(44032) 울산광역시 동구 방어진순환도로 1000, (주)세열 (동부동, 현대중공업)","주 5일 근무, 오후 5시까지",주간 근무 (오전 8시 00분 ~ 오후 5시 00분),,,"연봉 30,000,000원 이상 ~ 33,000,000원 이하",,,,,052-203-4400,,~ 채용시까지,"방문,팩스,워크넷",,,"['지체장애(경증)', '청각장애(경증)']","['화학물질에 민감한 장애유형', '정신장애']",선박 구성 부분품 제조업,99 명,이병하,중소기업,"44032 울산광역시 동구 방어진순환도로 1000 (동부동, 현대중공업)"
경영·사무·금융·보험,꿈이자라는가게에서 함께 일할 직원을 모집합니다.,사단법인 천안밀알,경력 (최소 1년 1개월 이상) 우대,고졸-대졸(4년),,,,장애인만 채용,"사회복지사, 자동차운전면허 2종 보통",기간의 정함이 있는 근로계약(시간(선택)제) 12개월 / 계약기간 만료 후 상용직 전환 검토,,"가게 판매 및 상품 관리, 재고 관리, 봉사자 관리, 장애인 일자리 사업 관리, 자원봉사자 개발하기, 지역사회 연계하기",,,"충청남도 천안시 동남구 중앙로 210, 2층 (신부동)","주 5일, (오전) 9시 00분 ~ (오후) 2시 00분",,,,"시급 9,860원 이상, 면접 후 재조정 가능",,,,,041-558-1018,,~ 2024-07-26,이메일,,https://www.ablejob.co.kr/recruit/canmilal.org,"['지체장애(경증)', '청각장애(경증)', '지적장애']","['뇌병변장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,3명,윤학희,,"31123 충청남도 천안시 동남구 중앙로 210, 2층 (신부동)"
미용·여행·숙박·음식·경비·돌봄·청소,[장항동] 효산캐슬빌딩 건물 미화원 채용(장애인복지카드 소지 필수),(주)백송산업개발,관계없음,학력무관,,(준)고령자(50세이상),,장애인만 채용,,기간의 정함이 없는 근로계약,미화원,"화장실, 승강기 등 청소업무",,,"(10402) 경기도 고양시 일산동구 중앙로1261번길 55, 효산캐슬빌딩 관리실 (장항동)","주6일 09:00~16:00 (휴게시간 12:00~14:00), 토요일 3시간 근무",,,,"월급 1,500,000원 이상 ~ 1,500,000원 이하",,,,,031-8075-6460,,~ 채용시까지,"팩스, 워크넷",,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",사업시설 유지․관리 서비스업,15 명,위경열,중소기업,10383 경기도 고양시 일산서구 호수로838번길 73-14 (대화동)
보건·의료,기간제 병문안 관리원 채용공고(장애인에 한함),강원특별자치도강릉의료원,관계없음,학력무관,,연령제한 없음,,장애인만 채용,,기간의 정함이 있는 근로계약(12개월),병문안 관리원,병동 출입 관리 등,,,(25535) 강원특별자치도 강릉시 경강로 2007 (남문동),"평일 격일근무, 근로시간 10:30~19:30 (1시간 점심휴게)",주 5일 근무,,,"시급 11,415원 이상",,,,,033-610-1411,,~ 2024-07-15,"방문,우편,기타(홈페이지 접속 후 자사 양식 다운 작성·자필 서명 후 강릉의료원 총무과로 제출)",,http://gnmc.or.kr/,"['지체장애(경증)', '청각장애(경증)']","['시각장애(중증)', '정신장애']",공중 보건 의료업,259 명,김종욱,중소기업,25535 강원특별자치도 강릉시 경강로 2007 (남문동)
설치·정비·생산·인쇄·목재·공예 및 제조 단순,생산직 장애인( 단순직 ) 모집,주식회사 세종메디칼,관계없음,학력무관,,,,장애인만 채용,"인근거주자, 유관업무 경험자(인턴·알바 등), 유관업무 경력자, 즉시출근 가능자",기간의 정함이 있는 근로계약 3 개월 후 상용직 전환 검토,생산직 / 단순조립,인쇄공정 담당 및 생산공정 단순 조립 담당,,,(10880) 경기도 파주시 신촌2로 11 (신촌동),"주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",정규직,통근버스 제공,3개월 후 상용직 전환 검토,"월급 2,060,740원 이상 ~ 2,100,000원 이하",3개월,,,,070-7730-4053,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']","['지체장애(중증)', '청각장애(중증)', '뇌병변장애(중증)', '정신장애']",체외 진단 시약 제조업,133 명,김병성,중소기업,10880 경기도 파주시 신촌2로 11 (신촌동)
미용·여행·숙박·음식·경비·돌봄·청소,장애인 사내미화원 채용,(주)마이텍,신입,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,사내미화원,"회사 로비, 계단, 복도, 화장실 청소",,,(46744) 부산광역시 강서구 미음산단4로 33 (미음동),"주 5일 근무, (오전) 8시 00분~(정오) 12시 30분, 휴게시간 : 10:00 ~ 10:30",,,,"시급 9,860원 이상",,,,부산광역시 사하구청,051-220-5696,,~ 2024-07-10,"팩스, 워크넷",,https://www.ablejob.co.kr/recruit/www.imytec.com,"['지체장애(경증)', '지체장애(중증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(경증)']","증류기, 열교환기 및 가스발생기 제조업",95 명,박말용,중소기업,46744 부산광역시 강서구 미음산단4로 33 (미음동)
설치·정비·생산·인쇄·목재·공예 및 제조 단순,[장애인채용] 제품조립담당자 모집 (근무지 : 인천 부평구 청천동),어드밴텍케이알(주),관계없음,학력무관,,,,장애인만 채용,"유관 업무 경험자 (인턴, 단시간근로)",기간의 정함이 있는 근로계약 6개월 / 계약기간 만료 후 상용직 전환 검토,제품 조립 및 검사,"보드 검사 및 조립, 포장",,,"(21314) 인천광역시 부평구 새벌로 5, 어드밴텍케이알(주) 인천 서비스센터 (청천동)","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분, 평균근무시간: 40시간",,"기타(점심 지원, 경조휴가, 육아휴직, 출산전후휴가, 장기근속자 포상, 우수사원 포상, 기념일 선물, 성과급, 문화생활비, 사내 동호회 운영, 건강검진)",,"월급 2,330,000원 이상, 면접 후 재조정 가능",,,,,02-3660-9251,,~ 2024-09-03,워크넷,서류전형 > 면접전형 > 최종합격,https://www.ablejob.co.kr/recruit/www.advantech.co.kr,"['지체장애(경증)', '청각장애(경증)']","['정신장애', '언어장애(중증)']",컴퓨터 제조업,120명,정준교,중견기업,"07791 서울특별시 강서구 강서로 463, 4층 (마곡동, 새싹타워)"
미용·여행·숙박·음식·경비·돌봄·청소,[스타벅스 남양주삼패점] 주차 관리원 모집,（주）삼구아이앤씨,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약3 개월,차량신호수,사업장 외부 차량신호수 업무,,,(12245) 경기도 남양주시 삼패동 경강로 384 (삼패동),"주 5일 근무, 정오 12시 00분 ~ 오후 4시 30분","평일 근무 (주말, 공휴일 휴무)",,3개월 후 계약기간 만료 시 상용직 전환 검토,"월급 1,035,300원 이상",,,,,010-9942-8638,,~ 채용시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.samkoo.com/,"['지체장애(경증)', '지체장애(중증)']","['시각장애(경증)', '시각장애(중증)']",상용 인력 공급 및 인사관리 서비스업,1 명,김형규,중견기업,"04542 서울특별시 중구 청계천로 100 (수표동, 동관)"
설치·정비·생산·인쇄·목재·공예 및 제조 단순,곰두리광고(옥외광고) 생산직,곰두리광고（평창군장애인보호작업장）,신입,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 없는 근로계약,"간판 제작 및 시공, 현수막 가공 및 시공","간판 제작 및 시공, 현수막 가공 및 시공",,,(25331) 강원특별자치도 평창군 진부면 송정길 12,"평일 : (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무, 평균근무시간 : 40시간",,"기타(명절휴가비, 여름휴가비)",,"월급 2,061,000원 이상 ~ 2,061,000원 이하",,,,,033-335-3030,,~ 20240712,"방문, 우편",,,"['지체장애(경증)', '청각장애(경증)']","['안면장애(중증)', '정신장애']",간판 및 광고물 제조업,12 명,박기균,,25331 강원특별자치도 평창군 진부면 송정길 12
교육·법률·사회복지·경찰·소방 및 군인,청소년발달장애인 방과후활동서비스 선생님을 모집합니다.,강민혜운동발달전문센터,경력무관,대졸(2~3년),,,"사회복지, 특수교육, 언어치료, 체육 등 관련 분야",장애인만 채용,"자동차운전면허 소지자, 군필 또는 면제자",아르바이트,청소년발달장애인 방과후활동서비스 선생님,"프로그램 계획 및 진행, 관련 서류 업무, 보호자 상담",,,인천 남동구,"주 5일, 월~목 16:00~19:00 / 금 16:00~18:30",파트타임,,,시급(면접 시 협의),,,,,,,,,서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격,,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['언어장애(중증)', '청각장애(중증)']",,,,,인천 남동구 논현동
경영·사무·금융·보험,(장애인만 채용)외국계은행 사무직 채용공고,비엔피파리바은행서울지점,경력 (최소1년) 우대,대졸(2~3년)-대졸(4년),,,,장애인만 채용,"영어 가능자(영문서류), MS오피스 활용 가능자, 해당업무 유경험자",기간의 정함이 있는 근로계약(6개월),금융사무직,"전반적인 금융사무(서류철, 정보 입력 등), 문서 작성 및 관리, 전산 입력 및 서류 내용과 전산 입력된 내용 일치 여부 확인",,,"(04631) 서울특별시 중구 퇴계로 100 (회현동2가, 스테이트타워남산 24층,25층)","주 5일 근무 - 월~목 09:30-18:00, 금 09:30~17:30, 평균 근무시간: 37시간",,,,"연봉 30,000,000원 이상",,,,,02-317-1795,,~ 20240731,워크넷,,,"['지체장애(경증)', '뇌병변장애(경증)', '시각장애(경증)', '청각장애(경증)']","['정신장애', '지적장애']",그 외 기타 분류 안된 금융업,140 명,REGAZZONI DANKWARDT DOROTHEE,대기업,"04631 서울특별시 중구 퇴계로 100 (회현동2가, 스테이트타워남산 24층,25층)"
미용·여행·숙박·음식·경비·돌봄·청소,2024학년도 동성초등학교(사립) 경비원(감시단속적 근로자) 채용 수정 공고,동성초등학교,관계없음,학력무관,,,,장애인만 채용,보훈취업지원대상자,기간의 정함이 있는 근로계약(7개월),경비원(감시단속적 근로자), 학교 출입 및 시설 안전 관리,,,(47310) 부산광역시 부산진구 동성로 26 (전포동),"주 4일 근무, 격일제 근무 (07:00 ~ 익일 07:00)",주말 및 공휴일 근무 포함,,7개월,"월급 1,900,000원 이상",,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실",동성초등학교 행정실,051-803-8987,,2024년 7월 5일(금) ~ 2024년 7월 12일(금),방문 접수,,https://www.ablejob.co.kr/recruit/ds.es.kr,"['지체장애(경증)', '청각장애(경증)']",['정신장애'],초등학교,120 명,박갑식,,47310 부산광역시 부산진구 동성로 26 (전포동)
영업·판매·운전·운송,2차) 의왕시수어통역센터 운전원(농인) 채용공고,의왕시수어통역센터,관계없음,학력무관,,,,장애인만 채용,컴퓨터 활용 가능자 우대,기간의 정함이 없는 근로계약,운전원(농인),차량운행 및 행정보조 업무,,,"(16007) 경기도 의왕시 덕장로 19, 청계종합복지센터 4층 의왕시수어통역센터 (청계동)","평일 : (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무",,,,"월급 2,060,740원 이상 ~ 2,100,000원 이하, 상여금 10% (미 포함), 면접 후 재조정 가능",,,,,031-459-8595,uwdeaf@hanmail.net,2024년 07월 3일(수) ~ 07월 17일(수),"이메일접수, 내방접수/우편접수","1차 서류전형, 2차 면접심사, 3차 면접심사",,"['청각장애(중증)', '언어장애(경증)', '지체장애(경증)']","['정신장애', '지적장애']",그 외 기타 협회 및 단체,7 명,박미애,,"16007 경기도 의왕시 덕장로 19, 청계종합복지센터 4층 의왕시수어통역센터"
설치·정비·생산·화학·환경·섬유·의복·식품가공,[장애인 채용] 필터 조립 공장에서 같이 근무하실 분 구합니다.,(사) 한국장애인미래정책포럼 산전사업단,관계없음,학력무관,,,,장애인만 채용,중증 장애인도 가능한 아주 단순한 작업입니다.,기간의 정함이 없는 근로계약,필터 작업,공기여과기용 프리필터 작업,,,"(10831) 경기도 파주시 광탄면 보광로 1541, -0","매주 화요일 ~ 금요일, 10:00 ~ 16:00","주 4일 근무, 평균 근무시간 : 20시간","차량소지자 주유 지원, 휴무는 월요일, 토요일, 일요일, 법정공휴일, 여름휴가 및 연월차 휴가.",,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,,,031-945-7602,,~ 2024-07-26,"방문, 이메일",,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)', '정신장애']",[],그 외 기타 전기장비 제조업,15명,배영환,,"10831 경기도 파주시 광탄면 보광로 1541, -0"
기타,[보호작업장 근로장애인 채용모집] 시흥시 능곡동 직업재활시설 내음공간,내음공간,신입,학력무관,,,,장애인만 채용,시흥시 내에 거주하는 중증 발달장애인분들 환영,정규직,,발달장애인으로서 자격기준 충족 후 다양한 직무 수행,,,"경기도 시흥시 장현능곡로 184 12, 602호 (능곡동)","주 5일, (오전) 9시 00분 ~ (오후) 4시 00분", 기간의 정함이 없는 근로계약,"리조트할인권, 명절선물, 휴가비, 피복지급, 건강검진 등",,"시급 9,860원 이상 ~ 9,860원 이하, 면접 후 재조정 가능",,,"장애인용 주차장, 건물 내부 경사로",김성혁 직업훈련교사,070-4603-0810,,~ 채용시까지,전화 혹은 방문 접수,초기상담(보호자 동반) → 현장평가(2주 진행) → 근로계약 체결,https://www.ablejob.co.kr/recruit/naeyeom.modoo.at/,"['지적장애', '자폐성장애']","['정신장애', '지체장애(중증)']",보건 및 복지 행정,40 명,문종선,,"14995 경기도 시흥시 장현능곡로 184 12, 602호 (능곡동)"
